Coral ID,Image number,Area
V-1 H D,1,6.472
V-1 H D,2,5.296
V-1 H D,3,7.338
V-1 H D,4,6.583
V-1 H D,5,0.760
V-1 H V,1,7.603
V-1 H V,2,7.305
V-1 H V,3,8.838
V-1 H V,4,5.306
V-1 H V,5,4.408
V-10 H D,1,22.504
V-10 H D,2,7.040
V-10 H D,3,13.704
V-10 H D,4,6.281
V-10 H D,5,12.950
V-11 A C,1,6.970
V-11 A C,2,4.459
V-11 A C,3,5.554
V-11 A C,4,5.550
V-11 A C,5,3.918
V-11 H V,1,5.020
V-11 H V,2,3.009
V-11 H V,3,4.694
V-11 H V,4,4.977
V-11 H V,5,6.870
V-12 A C,1,6.530
V-12 A C,2,5.245
V-12 A C,3,10.123
V-12 A C,4,8.015
V-12 A C,5,5.648
V-12 A D,1,7.528
V-12 A D,2,6.891
V-12 A D,3,12.223
V-12 A D,4,4.837
V-12 A D,5,12.357
V-12 H C,1,6.584
V-12 H C,2,4.400
V-12 H C,3,6.526
V-12 H C,4,4.255
V-12 H C,5,5.863
V-12 H D,1,5.341
V-12 H D,2,4.335
V-12 H D,3,3.994
V-12 H D,4,4.242
V-12 H D,5,4.089
V-12 H V,1,14.426
V-12 H V,2,6.603
V-12 H V,3,14.455
V-12 H V,4,6.485
V-12 H V,5,9.888
V-13 A D,1,12.508
V-13 A D,2,8.137
V-13 A D,3,13.600
V-13 A D,4,11.794
V-13 A D,5,13.229
V-13 A V,1,10.913
V-13 A V,2,8.695
V-13 A V,3,9.950
V-13 A V,4,9.250
V-13 A V,5,8.979
V-13 H D,1,12.126
V-13 H D,2,6.191
V-13 H D,3,10.415
V-13 H D,4,7.757
V-13 H D,5,8.294
V-13 H V,1,9.798
V-13 H V,2,8.798
V-13 H V,3,9.588
V-13 H V,4,7.620
V-13 H V,5,6.679
V-14 A C,1,3.853
V-14 A C,2,2.922
V-14 A C,3,5.710
V-14 A C,4,3.260
V-14 A C,5,2.396
V-14 A D,1,7.441
V-14 A D,2,7.321
V-14 A D,3,5.847
V-14 A D,4,5.856
V-14 A D,5,8.555
V-14 A V,1,6.580
V-14 A V,2,2.978
V-14 A V,3,7.093
V-14 A V,4,3.849
V-14 A V,5,5.130
V-14 H C,1,6.189
V-14 H C,2,3.336
V-14 H C,3,3.711
V-14 H C,4,2.205
V-14 H C,5,3.796
V-14 H V,1,4.081
V-14 H V,2,3.003
V-14 H V,3,5.410
V-14 H V,4,2.780
V-14 H V,5,4.481
V-15 A D,1,7.230
V-15 A D,2,8.040
V-15 A D,3,8.217
V-15 A D,4,0.005
V-15 A D,5,6.060
V-15 H D,1,6.374
V-15 H D,2,6.619
V-15 H D,3,5.086
V-15 H D,4,6.530
V-15 H D,5,7.395
V-2 A D,1,4.096
V-2 A D,2,3.219
V-2 A D,3,5.643
V-2 A D,4,4.170
V-2 A D,5,4.975
V-2 H D,1,12.919
V-2 H D,2,7.651
V-2 H D,3,12.411
V-2 H D,4,9.945
V-2 H D,5,9.889
V-2 H V,1,7.304
V-2 H V,2,4.321
V-2 H V,3,10.348
V-2 H V,4,5.988
V-2 H V,5,9.998
V-3 A D,1,4.641
V-3 A D,2,5.258
V-3 A D,3,4.796
V-3 A D,4,5.564
V-3 A D,5,4.429
V-3 H C,1,14.310
V-3 H C,2,11.098
V-3 H C,3,14.337
V-3 H C,4,6.220
V-3 H C,5,11.026
V-3 H D,1,3.663
V-3 H D,2,4.184
V-3 H D,3,4.057
V-3 H D,4,3.104
V-3 H D,5,2.598
V-4 A D,1,6.946
V-4 A D,2,4.329
V-4 A D,3,10.597
V-4 A D,4,6.237
V-4 A D,5,4.947
V-4 H C,1,6.791
V-4 H C,2,6.476
V-4 H C,3,5.802
V-4 H C,4,7.085
V-4 H C,5,7.168
V-4 H D,1,8.382
V-4 H D,2,4.832
V-4 H D,3,6.973
V-4 H D,4,7.011
V-4 H D,5,3.730
V-4 H V,1,6.859
V-4 H V,2,5.436
V-4 H V,3,7.210
V-4 H V,4,7.510
V-4 H V,5,4.758
V-7 A D,1,7.821
V-7 A D,2,5.893
V-7 A D,3,8.064
V-7 A D,4,4.453
V-7 A D,5,7.438
V-7 H C,1,6.723
V-7 H C,2,5.769
V-7 H C,3,5.592
V-7 H C,4,4.911
V-7 H C,5,6.154
V-7 H D,1,13.018
V-7 H D,2,9.201
V-7 H D,3,7.858
V-7 H D,4,6.577
V-7 H D,5,16.254
V-9 A D,1,10.371
V-9 A D,2,7.315
V-9 A D,3,10.544
V-9 A D,4,6.249
V-9 A D,5,13.159
V-9 H D,1,11.037
V-9 H D,2,5.816
V-9 H D,3,16.204
V-9 H D,4,6.686
V-9 H D,5,4.955
